,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths,"Deaths per 100,000 Population",C-E_TOTPOP,C-E_HU,C-E_HH,C-E_POV,C-E_UNEMP,C-E_NOHSDP,C-E_AGE65,C-E_AGE17,C-E_DISABL,C-E_SNGPNT,C-E_MINRTY,C-E_LIMENG,C-E_MUNIT,C-E_MOBILE,C-E_CROWD,C-E_NOVEH,C-E_GROUPQ,C-E_UNINSUR,C-E_DAYPOP,C-Deaths,"C-Deaths per 100,000 Population",Risk Category
10001_2016,171474.0,68106.0,62140.0,21866.0,6596.0,14727.0,26575.0,40490.0,23460.0,6883.0,62959.0,1848.0,4965.0,8628.0,1265.0,3968.0,5222.0,13060.0,181124.0,388.0,226.2733708900475,3997.0,1454.0,2998.0,928.0,-1204.0,-489.0,2206.0,2.0,2174.0,-55.0,2902.0,89.0,219.0,-73.0,348.0,102.0,53.0,-393.0,16409.0,45.0,21.469129113564748,1
10001_2018,174822.0,70576.0,64545.0,22968.0,4961.0,14930.0,28461.0,40611.0,24906.0,7005.0,66135.0,2217.0,5174.0,8704.0,1320.0,4206.0,5288.0,11970.0,168100.0,392.0,224.22807198178717,3348.0,2470.0,2405.0,1102.0,-1635.0,203.0,1886.0,121.0,1446.0,122.0,3176.0,369.0,209.0,76.0,55.0,238.0,66.0,-1090.0,-13024.0,4.0,-2.045298908260321,1
10001_2020,179124.0,73073.0,67299.0,37909.0,5238.0,14448.0,30665.0,41125.0,28206.0,6186.0,70641.0,2921.0,5603.0,8803.0,1203.0,4505.0,4979.0,12818.0,188154.0,425.0,237.26580469395503,4302.0,2497.0,2754.0,14941.0,277.0,-482.0,2204.0,514.0,3300.0,-819.0,4506.0,704.0,429.0,99.0,-117.0,299.0,-309.0,848.0,20054.0,33.0,13.037732712167866,1
10003_2016,551997.0,220459.0,202524.0,60817.0,20043.0,35611.0,76111.0,122399.0,60175.0,19432.0,225004.0,12082.0,29850.0,5286.0,2939.0,14735.0,17030.0,37698.0,589309.0,985.0,178.4429987844137,6151.0,1870.0,981.0,1237.0,-3453.0,-1623.0,5252.0,-943.0,1197.0,-448.0,8875.0,-740.0,553.0,134.0,-337.0,46.0,166.0,-8639.0,-16359.0,34.0,4.21803423397273,1
10003_2018,555133.0,222146.0,203855.0,61530.0,18464.0,32485.0,81440.0,121184.0,59939.0,17973.0,232872.0,10841.0,30991.0,4583.0,2726.0,14122.0,16864.0,29203.0,533398.0,988.0,177.9753680649502,3136.0,1687.0,1331.0,713.0,-1579.0,-3126.0,5329.0,-1215.0,-236.0,-1459.0,7868.0,-1241.0,1141.0,-703.0,-213.0,-613.0,-166.0,-8495.0,-55911.0,3.0,-0.4676307194635001,1
10003_2020,558306.0,224242.0,209431.0,89956.0,17967.0,30361.0,87119.0,120246.0,66448.0,14163.0,243408.0,10194.0,31963.0,4280.0,2795.0,14096.0,16921.0,28252.0,589755.0,1061.0,190.03915415560644,3173.0,2096.0,5576.0,28426.0,-497.0,-2124.0,5679.0,-938.0,6509.0,-3810.0,10536.0,-647.0,972.0,-303.0,69.0,-26.0,57.0,-951.0,56357.0,73.0,12.063786090656237,1
10005_2016,211224.0,129362.0,83387.0,26765.0,7030.0,21408.0,51147.0,41303.0,29503.0,6329.0,53167.0,5168.0,7055.0,22694.0,1739.0,3532.0,2900.0,18019.0,202091.0,601.0,284.53206075067226,7487.0,3353.0,5026.0,182.0,-1493.0,-409.0,5293.0,617.0,529.0,-237.0,2511.0,-86.0,250.0,-655.0,243.0,246.0,-82.0,-3313.0,8811.0,-26.0,-23.217636162505016,1
10005_2018,219540.0,135529.0,89365.0,25300.0,5076.0,20067.0,57228.0,41631.0,30469.0,6493.0,54865.0,4893.0,6673.0,22069.0,1854.0,3370.0,2899.0,15318.0,204524.0,650.0,296.0736084540403,8316.0,6167.0,5978.0,-1465.0,-1954.0,-1341.0,6081.0,328.0,966.0,164.0,1698.0,-275.0,-382.0,-625.0,115.0,-162.0,-1.0,-2701.0,2433.0,49.0,11.541547703368053,1
10005_2020,230249.0,141123.0,94223.0,42313.0,5129.0,19034.0,64240.0,42836.0,31891.0,4750.0,58394.0,5010.0,6362.0,21043.0,2028.0,3185.0,3052.0,14501.0,225076.0,685.0,297.5040065320587,10709.0,5594.0,4858.0,17013.0,53.0,-1033.0,7012.0,1205.0,1422.0,-1743.0,3529.0,117.0,-311.0,-1026.0,174.0,-185.0,153.0,-817.0,20552.0,35.0,1.4303980780184133,1
1001_2016,55049.0,22714.0,20800.0,6697.0,1437.0,4528.0,7695.0,13853.0,10009.0,1516.0,13386.0,432.0,1034.0,4095.0,254.0,1024.0,490.0,4852.0,40854.0,118.0,214.35448418681537,-87.0,283.0,496.0,-309.0,-815.0,-484.0,374.0,-361.0,1309.0,-133.0,283.0,183.0,192.0,-306.0,-276.0,-57.0,48.0,-962.0,-2680.0,4.0,7.593021621522269,1
1001_2018,55200.0,23315.0,21115.0,8422.0,1065.0,4204.0,8050.0,13369.0,10465.0,1586.0,13788.0,426.0,886.0,4279.0,299.0,1191.0,546.0,3875.0,37301.0,126.0,228.26086956521738,151.0,601.0,315.0,1725.0,-372.0,-324.0,355.0,-484.0,456.0,70.0,402.0,-6.0,-148.0,184.0,45.0,167.0,56.0,-977.0,-3553.0,8.0,13.906385378402007,1
1001_2020,55639.0,23697.0,21559.0,12611.0,736.0,4273.0,8490.0,13143.0,9658.0,1608.0,14479.0,363.0,918.0,4313.0,339.0,1167.0,578.0,4345.0,41810.0,155.0,278.5815704811373,439.0,382.0,444.0,4189.0,-329.0,69.0,440.0,-226.0,-807.0,22.0,691.0,-63.0,32.0,34.0,40.0,-24.0,32.0,470.0,4509.0,29.0,50.32070091591993,1
1003_2016,199510.0,107579.0,75149.0,25551.0,5887.0,13956.0,37338.0,44270.0,27390.0,4494.0,33560.0,1540.0,19711.0,12829.0,958.0,2303.0,2911.0,23255.0,197683.0,492.0,246.60418024159188,8305.0,2016.0,2091.0,-437.0,-1969.0,-659.0,3556.0,1084.0,787.0,-533.0,1402.0,-1031.0,723.0,629.0,-40.0,61.0,300.0,-4503.0,20673.0,27.0,3.409703109717725,1
1003_2018,208107.0,111945.0,78622.0,21653.0,4343.0,14310.0,40665.0,45677.0,28863.0,4508.0,35339.0,1068.0,20492.0,13075.0,991.0,2705.0,3014.0,20864.0,195677.0,574.0,275.8196504682687,8597.0,4366.0,3473.0,-3898.0,-1544.0,354.0,3327.0,1407.0,1473.0,14.0,1779.0,-472.0,781.0,246.0,33.0,402.0,103.0,-2391.0,-2006.0,82.0,29.215470226676842,1
1003_2020,218289.0,116747.0,84047.0,36413.0,4027.0,14823.0,44716.0,46993.0,30615.0,3317.0,37334.0,1593.0,19513.0,11893.0,1280.0,2627.0,2954.0,20501.0,218607.0,584.0,267.53523998002646,10182.0,4802.0,5425.0,14760.0,-316.0,513.0,4051.0,1316.0,1752.0,-1191.0,1995.0,525.0,-979.0,-1182.0,289.0,-78.0,-60.0,-363.0,22930.0,10.0,-8.284410488242258,1
1005_2016,26614.0,11802.0,9122.0,6235.0,1323.0,4824.0,4399.0,5735.0,5086.0,1132.0,14402.0,382.0,179.0,3534.0,158.0,889.0,2932.0,3079.0,27321.0,67.0,251.74720072142483,-505.0,-31.0,-23.0,403.0,-204.0,34.0,219.0,-127.0,230.0,34.0,-212.0,-167.0,50.0,359.0,-20.0,87.0,63.0,-681.0,-2448.0,-23.0,-80.12344347637011,1
1005_2018,25782.0,11937.0,9186.0,6597.0,918.0,4901.0,4634.0,5436.0,5078.0,1174.0,13884.0,398.0,152.0,3484.0,313.0,849.0,2900.0,2558.0,25052.0,93.0,360.71677914824295,-832.0,135.0,64.0,362.0,-405.0,77.0,235.0,-299.0,-8.0,42.0,-518.0,16.0,-27.0,-50.0,155.0,-40.0,-32.0,-521.0,-2269.0,26.0,108.96957842681812,1
1005_2020,25026.0,12057.0,9322.0,8965.0,649.0,4497.0,4777.0,5222.0,4159.0,1029.0,13694.0,433.0,170.0,3644.0,350.0,1039.0,2910.0,2362.0,27133.0,106.0,423.5594981219532,-756.0,120.0,136.0,2368.0,-269.0,-404.0,143.0,-214.0,-919.0,-145.0,-190.0,35.0,18.0,160.0,37.0,190.0,10.0,-196.0,2081.0,13.0,62.84271897371025,1
1007_2016,22572.0,8972.0,7048.0,3390.0,643.0,3040.0,3360.0,4756.0,3039.0,516.0,5696.0,96.0,195.0,2549.0,22.0,443.0,2001.0,1859.0,18756.0,63.0,279.10685805422645,-81.0,-13.0,-30.0,-206.0,-332.0,-426.0,151.0,-147.0,-304.0,-121.0,-21.0,-16.0,32.0,170.0,5.0,144.0,425.0,-866.0,-518.0,6.0,27.48455637233002,1
1007_2018,22527.0,9161.0,6840.0,2863.0,658.0,2650.0,3661.0,4659.0,3412.0,407.0,5726.0,57.0,222.0,2615.0,52.0,410.0,2091.0,1619.0,17696.0,84.0,372.88587028898655,-45.0,189.0,-208.0,-527.0,15.0,-390.0,301.0,-97.0,373.0,-109.0,30.0,-39.0,27.0,66.0,30.0,-33.0,90.0,-240.0,-1060.0,21.0,93.7790122347601,1
1007_2020,22374.0,9237.0,7259.0,5730.0,667.0,3056.0,3676.0,4584.0,3748.0,790.0,5724.0,75.0,228.0,2943.0,91.0,481.0,1657.0,1878.0,18799.0,78.0,348.61893268972915,-153.0,76.0,419.0,2867.0,9.0,406.0,15.0,-75.0,336.0,383.0,-2.0,18.0,6.0,328.0,39.0,71.0,-434.0,259.0,1103.0,-6.0,-24.266937599257403,1
1009_2016,57704.0,23850.0,20619.0,9441.0,1367.0,7882.0,9921.0,13601.0,8538.0,1614.0,7122.0,1018.0,190.0,5467.0,391.0,816.0,552.0,6388.0,42597.0,154.0,266.8792458061833,59.0,-18.0,-315.0,-425.0,-924.0,-685.0,749.0,-276.0,-1191.0,-36.0,297.0,64.0,-25.0,-30.0,47.0,-7.0,-20.0,-534.0,740.0,11.0,18.809161670525384,1
1009_2018,57645.0,24222.0,20600.0,8220.0,909.0,7861.0,10233.0,13468.0,8114.0,1437.0,7413.0,934.0,211.0,6108.0,339.0,856.0,543.0,6303.0,40036.0,179.0,310.5212941278515,-59.0,372.0,-19.0,-1221.0,-458.0,-21.0,312.0,-133.0,-424.0,-177.0,291.0,-84.0,21.0,641.0,-52.0,40.0,-9.0,-85.0,-2561.0,25.0,43.6420483216682,1
1009_2020,57755.0,24404.0,21205.0,13624.0,1253.0,6838.0,10382.0,13372.0,8564.0,1313.0,7690.0,801.0,167.0,6043.0,385.0,1077.0,564.0,5746.0,42172.0,198.0,342.8274608259025,110.0,182.0,605.0,5404.0,344.0,-1023.0,149.0,-96.0,450.0,-124.0,277.0,-133.0,-44.0,-65.0,46.0,221.0,21.0,-557.0,2136.0,19.0,32.306166698051015,1
1011_2016,10552.0,4462.0,3556.0,2728.0,638.0,2452.0,1597.0,2274.0,1786.0,560.0,8264.0,95.0,48.0,1488.0,6.0,604.0,441.0,1702.0,8981.0,31.0,293.78316906747534,-141.0,-7.0,-190.0,643.0,-171.0,-59.0,68.0,-9.0,-263.0,25.0,-57.0,-162.0,-17.0,50.0,-116.0,-99.0,-135.0,-89.0,-1658.0,11.0,106.744919745489,1
1011_2018,10352.0,4526.0,3609.0,3110.0,490.0,1760.0,1616.0,2150.0,1441.0,705.0,8124.0,43.0,76.0,1511.0,0.0,423.0,430.0,1076.0,8399.0,35.0,338.09891808346214,-200.0,64.0,53.0,382.0,-148.0,-692.0,19.0,-124.0,-345.0,145.0,-140.0,-52.0,28.0,23.0,-6.0,-181.0,-11.0,-626.0,-582.0,4.0,44.315749015986796,1
1011_2020,10173.0,4591.0,3429.0,4128.0,139.0,1700.0,1638.0,2279.0,1203.0,499.0,8011.0,150.0,73.0,1919.0,33.0,418.0,433.0,1025.0,7990.0,37.0,363.7078541236607,-179.0,65.0,-180.0,1018.0,-351.0,-60.0,22.0,129.0,-238.0,-206.0,-113.0,107.0,-3.0,408.0,33.0,-5.0,3.0,-51.0,-409.0,2.0,25.608936040198557,1
1013_2016,20280.0,9914.0,7675.0,5126.0,849.0,2642.0,3676.0,4733.0,3885.0,928.0,9576.0,166.0,165.0,2498.0,126.0,535.0,301.0,2357.0,19488.0,70.0,345.1676528599605,-243.0,-20.0,-578.0,-113.0,-226.0,-646.0,84.0,-102.0,-416.0,-176.0,59.0,84.0,29.0,101.0,31.0,-166.0,31.0,-246.0,-408.0,-10.0,-44.63890563538615,1
1013_2018,20025.0,10026.0,6708.0,4640.0,567.0,2141.0,3806.0,4566.0,3492.0,704.0,9641.0,93.0,134.0,2625.0,119.0,520.0,322.0,2005.0,17280.0,78.0,389.5131086142322,-255.0,112.0,-967.0,-486.0,-282.0,-501.0,130.0,-167.0,-393.0,-224.0,65.0,-73.0,-31.0,127.0,-7.0,-15.0,21.0,-352.0,-2208.0,8.0,44.345455754271654,1
1013_2020,19726.0,10119.0,6649.0,6133.0,551.0,1886.0,4092.0,4401.0,3067.0,500.0,9601.0,59.0,114.0,2349.0,72.0,359.0,320.0,1973.0,18138.0,59.0,299.09763763560784,-299.0,93.0,-59.0,1493.0,-16.0,-255.0,286.0,-165.0,-425.0,-204.0,-40.0,-34.0,-20.0,-276.0,-47.0,-161.0,-2.0,-32.0,858.0,-19.0,-90.41547097862434,1
1015_2016,115883.0,53326.0,45071.0,22135.0,6218.0,13894.0,18461.0,25641.0,23383.0,4621.0,31291.0,776.0,1997.0,7849.0,694.0,2819.0,2976.0,12415.0,122386.0,454.0,391.77446217305385,-1303.0,20.0,-277.0,-2659.0,-1039.0,-1780.0,641.0,-696.0,1786.0,215.0,-24.0,-139.0,-28.0,382.0,119.0,257.0,208.0,-2843.0,-4649.0,43.0,41.049972899591125,1
1015_2018,115098.0,53682.0,45033.0,20819.0,4628.0,12620.0,19386.0,25196.0,23598.0,4701.0,31675.0,1076.0,1990.0,7904.0,772.0,2599.0,3112.0,10686.0,117894.0,477.0,414.42944273575563,-785.0,356.0,-38.0,-1316.0,-1590.0,-1274.0,925.0,-445.0,215.0,80.0,384.0,300.0,-7.0,55.0,78.0,-220.0,136.0,-1729.0,-4492.0,23.0,22.65498056270178,1
1015_2020,114324.0,53722.0,44572.0,30323.0,3769.0,11787.0,20245.0,24769.0,22943.0,2972.0,32275.0,754.0,1977.0,8364.0,547.0,2270.0,2979.0,11260.0,118672.0,521.0,455.7223330184388,-774.0,40.0,-461.0,9504.0,-859.0,-833.0,859.0,-427.0,-655.0,-1729.0,600.0,-322.0,-13.0,460.0,-225.0,-329.0,-133.0,574.0,778.0,44.0,41.292890282683175,1
1017_2016,34018.0,16905.0,13851.0,6805.0,1136.0,4708.0,6255.0,7283.0,5960.0,1354.0,14715.0,114.0,597.0,2695.0,555.0,1110.0,482.0,3979.0,27940.0,100.0,293.9620201070022,-73.0,-39.0,-50.0,-1246.0,-780.0,-659.0,214.0,-115.0,-741.0,-371.0,275.0,47.0,-158.0,-354.0,49.0,-128.0,35.0,-1124.0,-1778.0,5.0,15.296096549465005,1
1017_2018,33826.0,16981.0,13516.0,5531.0,773.0,4383.0,6409.0,7006.0,5570.0,1307.0,14954.0,36.0,679.0,2378.0,404.0,989.0,512.0,3613.0,27176.0,84.0,248.32968722284633,-192.0,76.0,-335.0,-1274.0,-363.0,-325.0,154.0,-277.0,-390.0,-47.0,239.0,-78.0,82.0,-317.0,-151.0,-121.0,30.0,-366.0,-764.0,-16.0,-45.632332884155886,1
1017_2020,33427.0,16985.0,13582.0,9277.0,548.0,4140.0,6530.0,6946.0,6113.0,895.0,15014.0,111.0,1432.0,2281.0,974.0,1000.0,558.0,3045.0,27035.0,103.0,308.134143058007,-399.0,4.0,66.0,3746.0,-225.0,-243.0,121.0,-60.0,543.0,-412.0,60.0,75.0,753.0,-97.0,570.0,11.0,46.0,-568.0,-141.0,19.0,59.80445583516067,1
1019_2016,25897.0,16260.0,10999.0,4188.0,634.0,3499.0,5263.0,5326.0,5482.0,874.0,2105.0,15.0,309.0,4400.0,161.0,384.0,339.0,2417.0,21106.0,91.0,351.39205313356763,-145.0,6.0,-727.0,-1182.0,-480.0,-357.0,259.0,31.0,-83.0,-161.0,-8.0,-10.0,114.0,-521.0,-105.0,38.0,-56.0,-861.0,310.0,10.0,40.35603439460749,1
1019_2018,25853.0,16531.0,10606.0,3827.0,581.0,3692.0,5621.0,5286.0,5110.0,494.0,2123.0,99.0,331.0,4825.0,155.0,435.0,274.0,2133.0,19502.0,63.0,243.6854523652961,-44.0,271.0,-393.0,-361.0,-53.0,193.0,358.0,-40.0,-372.0,-380.0,18.0,84.0,22.0,425.0,-6.0,51.0,-65.0,-284.0,-1604.0,-28.0,-107.70660076827153,1
1019_2020,26035.0,16631.0,10836.0,6662.0,444.0,3288.0,5969.0,5003.0,4315.0,385.0,2256.0,275.0,250.0,4208.0,151.0,343.0,274.0,2458.0,20542.0,90.0,345.68849625504123,182.0,100.0,230.0,2835.0,-137.0,-404.0,348.0,-283.0,-795.0,-109.0,133.0,176.0,-81.0,-617.0,-4.0,-92.0,0.0,325.0,1040.0,27.0,102.00304388974513,1
1021_2016,43817.0,19260.0,16619.0,8779.0,1520.0,5918.0,6682.0,10590.0,7360.0,1440.0,8496.0,1002.0,194.0,6162.0,481.0,937.0,388.0,6875.0,35776.0,153.0,349.17954218682246,36.0,14.0,338.0,651.0,-377.0,-687.0,291.0,-135.0,-64.0,-82.0,57.0,-136.0,5.0,76.0,-86.0,100.0,10.0,35.0,928.0,29.0,65.95165794479965,1
1021_2018,43930.0,19586.0,16751.0,8034.0,1336.0,5302.0,6927.0,10647.0,7704.0,1722.0,8725.0,777.0,143.0,6332.0,453.0,823.0,403.0,6176.0,33957.0,122.0,277.714545868427,113.0,326.0,132.0,-745.0,-184.0,-616.0,245.0,57.0,344.0,282.0,229.0,-225.0,-51.0,170.0,-28.0,-114.0,15.0,-699.0,-1819.0,-31.0,-71.46499631839544,1
1021_2020,44147.0,19897.0,17140.0,12061.0,1153.0,5485.0,7318.0,10560.0,8873.0,1093.0,8864.0,719.0,184.0,6453.0,455.0,662.0,429.0,5145.0,35796.0,155.0,351.0997349763291,217.0,311.0,389.0,4027.0,-183.0,183.0,391.0,-87.0,1169.0,-629.0,139.0,-58.0,41.0,121.0,2.0,-161.0,26.0,-1031.0,1839.0,33.0,73.38518910790208,1
1023_2016,13287.0,7241.0,5562.0,2743.0,673.0,1998.0,2757.0,2760.0,3456.0,475.0,5819.0,0.0,109.0,2288.0,74.0,577.0,180.0,1516.0,12592.0,57.0,428.99074283133893,-259.0,-7.0,36.0,-124.0,-54.0,-483.0,100.0,-151.0,169.0,-76.0,-176.0,-2.0,28.0,145.0,-5.0,114.0,-6.0,-301.0,-411.0,6.0,52.495836585952816,1
1023_2018,13075.0,7344.0,5350.0,2864.0,504.0,1754.0,2884.0,2650.0,3677.0,463.0,5705.0,51.0,82.0,2320.0,73.0,542.0,183.0,1481.0,11639.0,69.0,527.7246653919694,-212.0,103.0,-212.0,121.0,-169.0,-244.0,127.0,-110.0,221.0,-12.0,-114.0,51.0,-27.0,32.0,-1.0,-35.0,3.0,-35.0,-953.0,12.0,98.7339225606305,1
1023_2020,12755.0,7410.0,5330.0,3749.0,306.0,1603.0,2948.0,2548.0,3263.0,427.0,5555.0,25.0,56.0,2480.0,52.0,366.0,171.0,1273.0,11450.0,57.0,446.8835750686006,-320.0,66.0,-20.0,885.0,-198.0,-151.0,64.0,-102.0,-414.0,-36.0,-150.0,-26.0,-26.0,160.0,-21.0,-176.0,-12.0,-208.0,-189.0,-12.0,-80.84109032336886,1
1025_2016,24847.0,12589.0,9554.0,6023.0,1681.0,3227.0,4488.0,5618.0,3879.0,736.0,11634.0,56.0,278.0,3434.0,147.0,1122.0,344.0,3255.0,26687.0,92.0,370.2660280919226,-484.0,-15.0,-237.0,-734.0,-382.0,-197.0,170.0,-338.0,-57.0,-369.0,-149.0,15.0,20.0,121.0,-12.0,-52.0,41.0,-734.0,689.0,18.0,78.13385802362677,1
1025_2018,24387.0,12741.0,9358.0,6088.0,1283.0,3175.0,4626.0,5389.0,4109.0,741.0,11492.0,30.0,223.0,3380.0,167.0,957.0,364.0,2594.0,25095.0,77.0,315.74199368516014,-460.0,152.0,-196.0,65.0,-398.0,-52.0,138.0,-229.0,230.0,5.0,-142.0,-26.0,-55.0,-54.0,20.0,-165.0,20.0,-661.0,-1592.0,-15.0,-54.52403440676244,1
1025_2020,23866.0,12813.0,9323.0,8251.0,1075.0,2904.0,4745.0,5162.0,4551.0,756.0,11395.0,22.0,154.0,3392.0,177.0,820.0,357.0,2275.0,24116.0,109.0,456.7166680633537,-521.0,72.0,-35.0,2163.0,-208.0,-271.0,119.0,-227.0,442.0,15.0,-97.0,-8.0,-69.0,12.0,10.0,-137.0,-7.0,-319.0,-979.0,32.0,140.97467437819358,1
1027_2016,13483.0,6745.0,5363.0,2195.0,386.0,2398.0,2616.0,2914.0,2172.0,649.0,2661.0,68.0,19.0,1619.0,52.0,219.0,262.0,1705.0,12435.0,59.0,437.58807387080026,-134.0,-11.0,-209.0,-286.0,-238.0,-20.0,129.0,-107.0,-431.0,22.0,-56.0,-47.0,-23.0,-247.0,-102.0,-103.0,-16.0,-63.0,-586.0,0.0,4.30614686778938,1
1027_2018,13378.0,6802.0,5236.0,2405.0,378.0,2275.0,2652.0,2819.0,2008.0,509.0,2638.0,51.0,28.0,1424.0,48.0,218.0,250.0,1340.0,11065.0,46.0,343.8481088354014,-105.0,57.0,-127.0,210.0,-8.0,-123.0,36.0,-95.0,-164.0,-140.0,-23.0,-17.0,9.0,-195.0,-4.0,-1.0,-12.0,-365.0,-1370.0,-13.0,-93.73996503539888,1
1027_2020,13285.0,6832.0,5153.0,3685.0,305.0,1756.0,2706.0,2735.0,2499.0,481.0,2602.0,9.0,32.0,1514.0,59.0,287.0,236.0,1108.0,11233.0,57.0,429.05532555513736,-93.0,30.0,-83.0,1280.0,-73.0,-519.0,54.0,-84.0,491.0,-28.0,-36.0,-42.0,4.0,90.0,11.0,69.0,-14.0,-232.0,168.0,11.0,85.20721671973598,1
1029_2016,14991.0,6689.0,5834.0,2889.0,450.0,2676.0,2723.0,3518.0,3252.0,311.0,1080.0,115.0,38.0,1848.0,99.0,348.0,165.0,2049.0,11943.0,63.0,420.2521512907745,1.0,-9.0,195.0,198.0,-100.0,133.0,120.0,-59.0,298.0,-93.0,-13.0,98.0,5.0,-4.0,-117.0,54.0,-2.0,5.0,257.0,7.0,46.669763031935304,1
1029_2018,14938.0,6806.0,5726.0,2719.0,458.0,2364.0,2803.0,3438.0,3331.0,316.0,1099.0,100.0,26.0,2062.0,49.0,231.0,169.0,1886.0,11325.0,59.0,394.9658588833846,-53.0,117.0,-108.0,-170.0,8.0,-312.0,80.0,-80.0,79.0,5.0,19.0,-15.0,-12.0,214.0,-50.0,-117.0,4.0,-163.0,-618.0,-4.0,-25.286292407389908,1
1029_2020,14952.0,6859.0,5835.0,4017.0,198.0,1877.0,3074.0,3370.0,3029.0,220.0,1107.0,81.0,22.0,1991.0,80.0,354.0,175.0,1791.0,11257.0,57.0,381.21990369181384,14.0,53.0,109.0,1298.0,-260.0,-487.0,271.0,-68.0,-302.0,-96.0,8.0,-19.0,-4.0,-71.0,31.0,123.0,6.0,-95.0,-68.0,-2.0,-13.745955191570772,1
1031_2016,50991.0,22862.0,19375.0,8219.0,1410.0,5145.0,8048.0,12122.0,8942.0,2018.0,14598.0,716.0,218.0,2863.0,270.0,1126.0,616.0,5253.0,47236.0,131.0,256.90808181836013,265.0,214.0,289.0,-1184.0,-166.0,-652.0,395.0,-2.0,662.0,-37.0,306.0,-347.0,31.0,-232.0,60.0,120.0,-7.0,-1046.0,481.0,5.0,8.51475295347825,1
1031_2018,51288.0,23088.0,19789.0,7604.0,1371.0,4833.0,8375.0,12161.0,8788.0,1928.0,15065.0,664.0,215.0,3140.0,272.0,1189.0,601.0,5004.0,44908.0,182.0,354.8588363749805,297.0,226.0,414.0,-615.0,-39.0,-312.0,327.0,39.0,-154.0,-90.0,467.0,-52.0,-3.0,277.0,2.0,63.0,-15.0,-249.0,-2328.0,51.0,97.95075455662038,1
1031_2020,52238.0,23313.0,19951.0,12810.0,1266.0,5158.0,8860.0,12352.0,8902.0,1785.0,15870.0,555.0,282.0,3227.0,444.0,1046.0,600.0,5331.0,49326.0,193.0,369.4628431410085,950.0,225.0,162.0,5206.0,-105.0,325.0,485.0,191.0,114.0,-143.0,805.0,-109.0,67.0,87.0,172.0,-143.0,-1.0,327.0,4418.0,11.0,14.604006766027965,1
1033_2016,54377.0,26156.0,22105.0,8910.0,1795.0,6344.0,10034.0,11735.0,10561.0,1879.0,11499.0,104.0,641.0,2478.0,150.0,1361.0,432.0,4932.0,56227.0,161.0,296.0810636850139,-114.0,185.0,-337.0,-950.0,-561.0,122.0,333.0,-172.0,-208.0,-91.0,107.0,-93.0,-50.0,73.0,-146.0,-22.0,-57.0,-1432.0,-123.0,-58.0,-105.82016771099649,1
1033_2018,54495.0,26466.0,21799.0,8785.0,1397.0,6016.0,10502.0,11608.0,10086.0,1791.0,11630.0,175.0,587.0,2455.0,83.0,1322.0,436.0,4353.0,56580.0,212.0,389.0265161941462,118.0,310.0,-306.0,-125.0,-398.0,-328.0,468.0,-127.0,-475.0,-88.0,131.0,71.0,-54.0,-23.0,-67.0,-39.0,4.0,-579.0,353.0,51.0,92.94545250913234,1
1033_2020,54957.0,26727.0,21797.0,12779.0,979.0,5590.0,10900.0,11500.0,9577.0,1326.0,12081.0,377.0,629.0,2394.0,105.0,1064.0,444.0,3723.0,59236.0,182.0,331.16800407591387,462.0,261.0,-2.0,3994.0,-418.0,-426.0,398.0,-108.0,-509.0,-465.0,451.0,202.0,42.0,-61.0,22.0,-258.0,8.0,-630.0,2656.0,-30.0,-57.85851211823234,1
1035_2016,12697.0,7055.0,5090.0,4107.0,974.0,1812.0,2573.0,2820.0,2708.0,510.0,6257.0,0.0,54.0,2132.0,106.0,351.0,49.0,2413.0,12876.0,40.0,315.03504764905097,-288.0,-11.0,60.0,-149.0,-332.0,-330.0,108.0,-78.0,-249.0,25.0,-99.0,-42.0,-21.0,43.0,5.0,-150.0,-8.0,-370.0,-281.0,-4.0,-23.817474491880887,1
1035_2018,12514.0,7143.0,4574.0,2752.0,505.0,1703.0,2707.0,2651.0,2847.0,495.0,6240.0,0.0,37.0,2053.0,50.0,309.0,45.0,1804.0,11576.0,40.0,319.642000958926,-183.0,88.0,-516.0,-1355.0,-469.0,-109.0,134.0,-169.0,139.0,-15.0,-17.0,0.0,-17.0,-79.0,-56.0,-42.0,-4.0,-609.0,-1300.0,0.0,4.606953309875053,1
1035_2020,12219.0,7203.0,4585.0,4249.0,339.0,1328.0,2771.0,2547.0,2773.0,313.0,6102.0,0.0,55.0,2179.0,20.0,437.0,43.0,1263.0,11437.0,59.0,482.8545707504706,-295.0,60.0,11.0,1497.0,-166.0,-375.0,64.0,-104.0,-74.0,-182.0,-138.0,0.0,18.0,126.0,-30.0,128.0,-2.0,-541.0,-139.0,19.0,163.21256979154458,1
1037_2016,10864.0,6453.0,4206.0,1610.0,539.0,2140.0,2028.0,1992.0,2346.0,180.0,3800.0,122.0,10.0,2000.0,67.0,285.0,340.0,1321.0,7362.0,41.0,377.39322533136965,-383.0,-25.0,-240.0,-580.0,-431.0,159.0,72.0,-147.0,78.0,-150.0,-136.0,51.0,-4.0,-84.0,-10.0,-3.0,46.0,-384.0,-1758.0,15.0,146.2204681516773,1
